1,0,8,年,0,7,月,1,6,日, ,外,資,及,陸,資,買,賣,超,彙,總,表
,證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
 ,2520  ,冠德            ,"1,045,000","488,000","557,000",0,0,0,"1,045,000","488,000","557,000"
 ,9914  ,美利達          ,"808,000","251,200","556,800",0,0,0,"808,000","251,200","556,800"
 ,4142  ,國光生          ,"530,000","19,000","511,000",0,0,0,"530,000","19,000","511,000"
 ,2027  ,大成鋼          ,"641,000","134,000","507,000",0,0,0,"641,000","134,000","507,000"
 ,2474  ,可成            ,"1,038,000","533,000","505,000",0,0,0,"1,038,000","533,000","505,000"
 ,2612  ,中航            ,"516,000","13,000","503,000",0,0,0,"516,000","13,000","503,000"
 ,2332  ,友訊            ,"712,000","219,000","493,000",0,0,0,"712,000","219,000","493,000"
 ,2456  ,奇力新          ,"733,000","262,000","471,000",0,0,0,"733,000","262,000","471,000"
 ,2511  ,太子            ,"728,854","258,000","470,854",0,0,0,"728,854","258,000","470,854"
 ,3006  ,晶豪科          ,"615,000","159,000","456,000",0,0,0,"615,000","159,000","456,000"
 ,4915  ,致伸            ,"941,000","487,000","454,000",0,0,0,"941,000","487,000","454,000"
 ,1314  ,中石化          ,"1,220,000","777,000","443,000",0,0,0,"1,220,000","777,000","443,000"
 ,1515  ,力山            ,"921,000","479,000","442,000",0,0,0,"921,000","479,000","442,000"
 ,1762  ,中化生          ,"568,000","130,000","438,000",0,0,0,"568,000","130,000","438,000"
 ,00830 ,國泰費城半導體  ,"457,000","20,000","437,000",0,0,0,"457,000","20,000","437,000"
 ,2316  ,楠梓電          ,"831,000","403,000","428,000",0,0,0,"831,000","403,000","428,000"
 ,3576  ,聯合再生        ,"847,000","427,000","420,000",0,0,0,"847,000","427,000","420,000"
 ,4935  ,茂林-KY         ,"462,000","42,300","419,700",0,0,0,"462,000","42,300","419,700"
 ,2347  ,聯強            ,"1,076,000","661,000","415,000",0,0,0,"1,076,000","661,000","415,000"
 ,2345  ,智邦            ,"809,003","416,000","393,003",0,0,0,"809,003","416,000","393,003"
 ,2393  ,億光            ,"421,000","45,000","376,000",0,0,0,"421,000","45,000","376,000"
 ,2481  ,強茂            ,"663,000","288,000","375,000",0,0,0,"663,000","288,000","375,000"
 ,2855  ,統一證          ,"734,000","362,000","372,000",0,0,0,"734,000","362,000","372,000"
 ,2412  ,中華電          ,"1,498,500","1,135,000","363,500",0,0,0,"1,498,500","1,135,000","363,500"
 ,4943  ,康控-KY         ,"613,000","252,000","361,000",0,0,0,"613,000","252,000","361,000"
 ,2023  ,燁輝            ,"413,000","56,000","357,000",0,0,0,"413,000","56,000","357,000"
 ,2328  ,廣宇            ,"488,000","148,000","340,000",0,0,0,"488,000","148,000","340,000"
 ,2208  ,台船            ,"726,000","400,000","326,000",0,0,0,"726,000","400,000","326,000"
 ,2105  ,正新            ,"514,000","191,000","323,000",0,0,0,"514,000","191,000","323,000"
 ,6282  ,康舒            ,"407,000","92,000","315,000",0,0,0,"407,000","92,000","315,000"
 ,3005  ,神基            ,"687,000","384,000","303,000",0,0,0,"687,000","384,000","303,000"
 ,9939  ,宏全            ,"340,000","42,189","297,811",0,0,0,"340,000","42,189","297,811"
 ,1718  ,中纖            ,"388,000","92,000","296,000",0,0,0,"388,000","92,000","296,000"
 ,3035  ,智原            ,"968,000","676,000","292,000",0,0,0,"968,000","676,000","292,000"
 ,9946  ,三發地產        ,"387,000","101,000","286,000",0,0,0,"387,000","101,000","286,000"
 ,5243  ,乙盛-KY         ,"441,000","156,000","285,000",0,0,0,"441,000","156,000","285,000"
 ,2439  ,美律            ,"1,528,297","1,250,000","278,297",0,0,0,"1,528,297","1,250,000","278,297"
 ,2809  ,京城銀          ,"715,118","438,000","277,118",0,0,0,"715,118","438,000","277,118"
 ,9904  ,寶成            ,"3,686,000","3,409,658","276,342",0,0,0,"3,686,000","3,409,658","276,342"
 ,2637  ,慧洋-KY         ,"506,000","230,000","276,000",0,0,0,"506,000","230,000","276,000"
 ,2615  ,萬海            ,"418,000","148,000","270,000",0,0,0,"418,000","148,000","270,000"
 ,2442  ,新美齊          ,"807,000","540,000","267,000",0,0,0,"807,000","540,000","267,000"
 ,5880  ,合庫金          ,"3,281,000","3,029,051","251,949",0,0,0,"3,281,000","3,029,051","251,949"
 ,6005  ,群益證          ,"492,000","242,000","250,000",0,0,0,"492,000","242,000","250,000"
 ,2014  ,中鴻            ,"656,000","407,000","249,000",0,0,0,"656,000","407,000","249,000"
 ,6456  ,GIS-KY          ,"698,000","451,000","247,000",0,0,0,"698,000","451,000","247,000"
 ,1337  ,再生-KY         ,"253,000","11,000","242,000",0,0,0,"253,000","11,000","242,000"
 ,4766  ,南寶            ,"320,000","81,000","239,000",0,0,0,"320,000","81,000","239,000"
 ,4960  ,誠美材          ,"556,000","320,000","236,000",0,0,0,"556,000","320,000","236,000"
 ,035127,鴻海永昌87購01  ,"230,000",0,"230,000",0,0,0,"230,000",0,"230,000"
 ,5522  ,遠雄            ,"920,000","691,000","229,000",0,0,0,"920,000","691,000","229,000"
 ,1711  ,永光            ,"230,000","6,000","224,000",0,0,0,"230,000","6,000","224,000"
 ,2379  ,瑞昱            ,"1,252,999","1,033,000","219,999",0,0,0,"1,252,999","1,033,000","219,999"
 ,1736  ,喬山            ,"641,000","422,000","219,000",0,0,0,"641,000","422,000","219,000"
 ,1310  ,台苯            ,"714,000","496,000","218,000",0,0,0,"714,000","496,000","218,000"
 ,8070  ,長華            ,"222,000","7,000","215,000",0,0,0,"222,000","7,000","215,000"
 ,3062  ,建漢            ,"234,000","21,000","213,000",0,0,0,"234,000","21,000","213,000"
 ,2401  ,凌陽            ,"313,000","101,000","212,000",0,0,0,"313,000","101,000","212,000"
 ,6224  ,聚鼎            ,"235,000","23,000","212,000",0,0,0,"235,000","23,000","212,000"
 ,9802  ,鈺齊-KY         ,"254,000","43,000","211,000",0,0,0,"254,000","43,000","211,000"
 ,1589  ,永冠-KY         ,"677,000","476,000","201,000",0,0,0,"677,000","476,000","201,000"
 ,3026  ,禾伸堂          ,"329,000","129,000","200,000",0,0,0,"329,000","129,000","200,000"
 ,2436  ,偉詮電          ,"215,000","17,000","198,000",0,0,0,"215,000","17,000","198,000"
 ,8163  ,達方            ,"282,000","85,000","197,000",0,0,0,"282,000","85,000","197,000"
