105/06/01,55000,82870,1.60,1.60,1.48,1.51,-0.06,7
105/06/02,55000,85450,1.51,1.59,1.51,1.58,0.07,5
105/06/03,40000,62800,1.56,1.60,1.56,1.60,0.02,2
105/06/04,1044000,1545020,1.48,1.52,1.47,1.52,-0.08,10
105/06/06,568000,937880,1.60,1.69,1.60,1.64,0.12,11
105/06/07,1043000,1646160,1.62,1.62,1.54,1.56,-0.08,16
105/06/08,1016000,1553740,1.50,1.55,1.50,1.52,-0.04,15
105/06/13,385000,594430,1.54,1.57,1.52,1.52,,14
105/06/14,10000,14100,1.41,1.41,1.41,1.41,-0.11,1
105/06/15,92000,136220,1.48,1.51,1.48,1.51,0.10,5
105/06/16,2081000,3437610,1.53,1.71,1.53,1.71,0.20,43
105/06/17,1722000,2753460,1.71,1.71,1.55,1.62,-0.09,34
105/06/20,218000,339880,1.62,1.62,1.51,1.51,-0.11,4
105/06/21,682000,1030170,1.51,1.52,1.50,1.51,,15
105/06/22,673000,971000,1.48,1.50,1.40,1.41,-0.10,14
105/06/23,349000,495410,1.41,1.45,1.41,1.41,,7
105/06/24,489000,727740,1.45,1.72,1.41,1.62,0.21,26
105/06/27,396000,670550,1.64,1.74,1.64,1.69,0.07,13
105/06/28,603000,1065950,1.85,1.90,1.59,1.65,-0.04,24
105/06/29,224000,341010,1.60,1.61,1.50,1.52,-0.13,11
105/06/30,630000,958300,1.47,1.57,1.47,1.57,0.05,14
105/07/01,738000,1121470,1.51,1.56,1.49,1.52,-0.05,18
105/07/04,159000,241490,1.52,1.55,1.49,1.55,0.03,6
105/07/05,844000,1390440,1.58,1.71,1.58,1.68,0.13,22
