105/06/01,36000,69120,1.92,1.92,1.92,1.92,X,2
105/06/02,36000,68240,1.91,1.91,1.89,1.89,-0.03,2
105/06/03,5000,9400,1.88,1.88,1.88,1.88,-0.01,1
105/06/04,122000,240680,1.87,2.08,1.87,1.92,0.04,10
105/06/06,277000,496500,1.91,1.91,1.71,1.87,-0.05,51
105/06/07,139000,246950,1.76,1.83,1.74,1.76,-0.11,10
105/06/08,109000,183980,1.73,1.76,1.66,1.66,-0.10,8
105/06/13,0,0,--,--,--,--,,0
105/06/14,10000,14700,1.47,1.47,1.47,1.47,X,1
105/06/15,20000,30000,1.51,1.51,1.49,1.49,0.02,2
105/06/16,10000,15200,1.52,1.52,1.52,1.52,0.03,1
105/06/17,10000,14200,1.42,1.42,1.42,1.42,-0.10,1
105/06/20,18000,24760,1.42,1.42,1.34,1.34,-0.08,3
105/06/21,184000,260120,1.35,1.52,1.35,1.52,0.18,24
105/06/22,596000,1267740,1.90,2.30,1.90,2.24,0.72,59
105/06/23,221000,473730,2.08,2.44,1.99,2.44,0.20,29
105/06/24,233000,479440,2.00,2.28,1.80,1.80,-0.64,21
105/06/27,172000,309710,1.81,1.86,1.72,1.72,-0.08,14
105/06/28,191000,361430,1.80,1.97,1.80,1.94,0.22,17
105/06/29,391000,893800,2.22,2.41,1.10,2.31,0.37,56
105/06/30,219000,522820,2.30,2.52,2.28,2.43,0.12,15
105/07/01,388000,962450,2.51,2.51,2.42,2.49,0.06,49
105/07/04,182000,440960,2.30,2.55,2.30,2.52,0.03,11
