105/06/01,15000,18100,1.24,1.24,1.19,1.19,+0.05,2
105/06/02,50000,53500,1.07,1.07,1.07,1.07,-0.12,1
105/06/03,187000,205040,1.06,1.12,1.06,1.12,+0.05,10
105/06/04,158000,171520,1.08,1.10,1.08,1.10,-0.02,4
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,30000,28800,0.96,0.96,0.96,0.96,-0.02,1
105/06/13,13000,11530,0.88,0.89,0.88,0.89,-0.07,4
105/06/14,48000,50780,0.96,1.06,0.96,1.06,+0.17,2
105/06/15,47000,48480,1.02,1.04,1.02,1.04,-0.02,3
105/06/16,70000,72680,1.06,1.06,1.02,1.02,-0.02,7
105/06/17,20000,21400,1.07,1.07,1.07,1.07,+0.05,1
105/06/20,0,0,---,---,---,---,---,0
105/06/21,557000,586170,1.06,1.06,0.96,0.98,-0.05,8
105/06/22,525000,488650,0.95,0.95,0.93,0.93,-0.05,5
