105/06/01,415000,281410,0.68,0.70,0.62,0.65,0.00,16
105/06/02,224000,133800,0.65,0.67,0.53,0.54,-0.11,17
105/06/03,70000,37100,0.53,0.53,0.53,0.53,-0.01,2
105/06/04,2000,1100,0.55,0.55,0.55,0.55,+0.02,1
105/06/06,160000,97600,0.61,0.61,0.61,0.61,+0.06,3
105/06/07,200000,121700,0.63,0.63,0.59,0.59,-0.02,6
105/06/08,70000,35600,0.52,0.52,0.50,0.50,-0.09,2
105/06/13,40000,19920,0.50,0.51,0.47,0.49,-0.01,5
105/06/14,15000,7200,0.48,0.48,0.48,0.48,-0.01,1
105/06/15,17000,8350,0.48,0.51,0.48,0.50,+0.02,3
105/06/16,360000,210000,0.54,0.59,0.54,0.59,+0.09,7
105/06/17,371000,220880,0.59,0.60,0.57,0.57,-0.02,7
105/06/20,33000,18500,0.57,0.57,0.55,0.56,-0.01,5
105/06/21,49000,30430,0.62,0.64,0.61,0.61,+0.05,7
105/06/22,135000,77250,0.58,0.59,0.57,0.59,-0.02,4
