105/06/01,0,0,---,---,---,---,---,0
105/06/02,426000,364200,0.84,0.87,0.84,0.87,+0.05,7
105/06/03,433000,376180,0.86,0.92,0.86,0.89,+0.02,9
105/06/04,65000,56700,0.87,0.88,0.87,0.88,-0.01,3
105/06/06,4000,3440,0.86,0.86,0.86,0.86,-0.02,1
105/06/07,0,0,---,---,---,---,---,0
105/06/08,35000,29140,0.80,0.84,0.80,0.84,-0.01,3
105/06/13,150000,129840,0.85,0.87,0.85,0.87,+0.03,6
105/06/14,146000,124100,0.85,0.85,0.85,0.85,-0.02,6
105/06/15,160000,133200,0.83,0.84,0.82,0.82,-0.03,3
105/06/16,20000,16800,0.84,0.84,0.84,0.84,+0.02,1
105/06/17,20000,16600,0.83,0.83,0.83,0.83,-0.01,1
105/06/20,200000,153700,0.78,0.78,0.74,0.75,-0.08,5
105/06/21,105000,77550,0.71,0.74,0.71,0.74,-0.01,2
105/06/22,145000,109600,0.76,0.76,0.72,0.72,-0.02,6
105/06/23,11000,8050,0.71,0.75,0.71,0.75,+0.03,2
105/06/24,396000,341100,0.82,0.91,0.82,0.90,+0.15,11
105/06/27,237000,209210,0.89,0.89,0.85,0.86,-0.04,8
105/06/28,224000,190880,0.88,0.88,0.82,0.85,-0.01,4
105/06/29,320000,255200,0.79,0.81,0.79,0.81,-0.04,2
105/06/30,343000,276970,0.83,0.83,0.79,0.83,+0.02,8
105/07/01,220000,179500,0.81,0.82,0.80,0.82,-0.01,4
105/07/04,570000,484800,0.84,0.87,0.84,0.87,+0.05,6
105/07/05,946000,846630,0.90,0.90,0.87,0.87,0.00,20
