105/06/01,0,0,---,---,---,---,---,0
105/06/02,0,0,---,---,---,---,---,0
105/06/03,47000,18800,0.40,0.40,0.40,0.40,+0.01,1
105/06/04,57000,22900,0.40,0.41,0.40,0.41,+0.01,2
105/06/06,100000,41000,0.41,0.41,0.41,0.41,0.00,1
105/06/07,100000,44000,0.44,0.44,0.44,0.44,+0.03,1
105/06/08,100000,49000,0.49,0.49,0.49,0.49,+0.05,1
105/06/13,400000,196000,0.49,0.51,0.47,0.51,+0.02,6
105/06/14,202000,106930,0.53,0.55,0.51,0.51,0.00,7
105/06/15,448000,232460,0.54,0.54,0.51,0.52,+0.01,6
105/06/16,1000,500,0.50,0.50,0.50,0.50,-0.02,1
105/06/17,458000,227920,0.49,0.50,0.49,0.50,0.00,3
105/06/20,118000,55720,0.47,0.49,0.47,0.48,-0.02,3
105/06/21,120000,57600,0.48,0.48,0.48,0.48,0.00,2
105/06/22,340000,169200,0.50,0.51,0.48,0.51,+0.03,6
105/06/23,204000,100960,0.49,0.50,0.49,0.50,-0.01,4
105/06/24,178000,81680,0.48,0.48,0.35,0.38,-0.12,8
