105/06/01,22601,192371,8.42,8.58,8.42,8.58,-0.06,28
105/06/02,476219,4461122,8.58,9.43,8.58,9.43,0.85,158
105/06/03,400944,3677943,9.30,9.30,9.01,9.21,-0.22,186
105/06/04,65440,604127,9.20,9.28,9.20,9.25,0.04,50
105/06/06,146137,1380342,9.28,9.60,9.28,9.40,0.15,79
105/06/07,266601,2586796,9.50,9.90,9.50,9.79,0.39,124
105/06/08,210400,2099234,10.10,10.15,9.72,9.87,0.08,90
105/06/13,75776,733352,9.90,9.90,9.57,9.69,-0.18,61
105/06/14,57480,555140,9.69,9.89,9.52,9.74,0.05,43
105/06/15,54506,529984,9.74,9.89,9.60,9.75,0.01,45
105/06/16,42008,407563,9.72,9.89,9.61,9.62,-0.13,38
105/06/17,52705,502662,9.59,9.68,9.47,9.47,-0.15,38
105/06/20,38351,364647,9.50,9.63,9.45,9.47,,29
105/06/21,47739,452462,9.47,9.53,9.43,9.43,-0.04,43
105/06/22,77210,721461,9.43,9.50,9.26,9.49,0.06,49
105/06/23,70004,665415,9.49,9.53,9.46,9.46,-0.03,28
105/06/24,74003,682547,9.53,9.53,9.01,9.19,-0.27,44
105/06/27,61636,557084,9.00,9.11,9.00,9.10,-0.09,44
105/06/28,37101,341673,9.38,9.38,9.12,9.20,0.10,22
105/06/29,60798,559566,9.25,9.37,9.16,9.16,-0.04,33
105/06/30,98364,916230,9.18,9.36,9.18,9.35,0.19,63
