105/06/01,100000,71000,0.71,0.71,0.71,0.71,+0.01,1
105/06/02,160000,130800,0.79,0.87,0.79,0.86,+0.15,5
105/06/03,205000,184200,0.86,0.92,0.86,0.90,+0.04,16
105/06/04,52000,45610,0.88,0.88,0.86,0.86,-0.04,4
105/06/06,1601000,1621100,0.98,1.06,0.97,1.02,+0.16,25
105/06/07,1074000,1013100,0.95,1.00,0.93,1.00,-0.02,50
105/06/08,185000,188700,0.99,1.04,0.99,1.03,+0.03,11
105/06/13,582000,674340,1.16,1.17,1.13,1.16,+0.13,14
105/06/14,83000,91300,1.10,1.10,1.10,1.10,-0.06,5
105/06/15,146000,150290,1.13,1.13,0.93,0.94,-0.16,10
105/06/16,32000,30920,0.97,0.97,0.96,0.96,+0.02,3
