105/06/01,41000,408150,10.05,10.05,9.80,9.92,+0.20,21
105/06/02,21807,217389,9.92,10.00,9.90,10.00,+0.08,10
105/06/03,1000,9980,9.98,9.98,9.98,9.98,-0.02,1
105/06/04,1018,10158,9.98,9.98,9.98,9.98,0.00,2
105/06/06,29000,290000,10.00,10.00,10.00,10.00,+0.02,8
105/06/07,13000,128110,9.85,9.90,9.81,9.90,-0.10,6
105/06/08,13000,129050,9.90,10.00,9.85,9.85,-0.05,7
105/06/13,6000,58400,9.70,9.90,9.70,9.90,+0.05,6
105/06/14,1000,9750,9.75,9.75,9.75,9.75,-0.15,1
105/06/15,5429,54640,10.10,10.10,10.05,10.05,+0.30,5
105/06/16,21000,204650,10.00,10.00,9.56,9.78,-0.27,13
105/06/17,8000,78310,9.78,9.84,9.74,9.74,-0.04,7
105/06/20,13242,129627,9.80,9.80,9.75,9.75,+0.01,8
105/06/21,0,0,---,---,---,---,---,0
105/06/22,7000,68450,9.75,9.80,9.75,9.80,+0.05,7
105/06/23,2000,19980,9.99,9.99,9.99,9.99,+0.19,2
105/06/24,12000,116940,9.89,9.89,9.70,9.70,-0.29,5
105/06/27,5000,49290,9.99,9.99,9.80,9.80,+0.10,5
