105/06/01,0,0,---,---,---,---,---,0
105/06/02,152000,501820,3.41,3.41,3.27,3.27,-0.56,3
105/06/03,122000,411220,3.27,3.50,3.27,3.36,+0.09,16
105/06/04,10000,33600,3.36,3.36,3.36,3.36,0.00,1
105/06/06,140000,427900,3.10,3.16,2.87,3.16,-0.20,10
105/06/07,80000,256200,3.14,3.32,3.12,3.12,-0.04,6
105/06/08,32000,99840,3.09,3.17,3.09,3.17,+0.05,3
105/06/13,40000,110500,2.72,2.92,2.70,2.92,-0.25,4
105/06/14,20000,59500,2.97,2.98,2.97,2.98,+0.06,2
105/06/15,13000,37860,2.95,2.98,2.90,2.90,-0.08,5
105/06/16,54000,177620,3.09,3.40,3.09,3.38,+0.48,9
105/06/17,14000,49250,3.44,3.55,3.44,3.55,+0.17,6
105/06/20,3000,10800,3.59,3.64,3.57,3.64,+0.09,3
105/06/21,13000,43860,3.42,3.54,3.35,3.54,-0.10,4
105/06/22,3000,10370,3.51,3.51,3.43,3.43,-0.11,2
105/06/23,4000,12930,3.37,3.37,3.15,3.15,-0.28,3
105/06/24,69000,198220,3.11,3.20,2.56,2.68,-0.47,11
105/06/27,76000,204090,2.64,2.88,2.62,2.82,+0.14,6
105/06/28,56000,132490,2.79,2.79,2.00,2.32,-0.50,17
105/06/29,30000,67590,2.25,2.35,2.17,2.28,-0.04,8
105/06/30,12000,28100,2.28,2.40,2.27,2.40,+0.12,6
105/07/01,11000,27020,2.52,2.52,2.40,2.42,+0.02,3
105/07/04,23000,53970,2.39,2.39,2.19,2.19,-0.23,3
105/07/05,2000,4500,2.25,2.25,2.25,2.25,+0.06,1
105/07/06,20000,40830,2.10,2.10,1.98,1.98,-0.27,7
105/07/07,5000,9740,1.98,1.98,1.94,1.94,-0.04,2
105/07/11,2000,3900,1.95,1.95,1.95,1.95,+0.01,1
105/07/12,64000,146540,2.29,2.36,2.25,2.25,+0.30,9
105/07/13,52000,112700,2.15,2.32,2.13,2.32,+0.07,3
105/07/14,44000,108740,2.45,2.54,2.40,2.54,+0.22,7
105/07/15,46000,121590,2.69,2.78,2.42,2.42,-0.12,8
105/07/18,25000,59200,2.33,2.40,2.33,2.38,-0.04,3
105/07/19,8000,20290,2.43,2.61,2.43,2.50,+0.12,5
105/07/20,43000,95910,2.36,2.39,2.19,2.23,-0.27,6
