105/06/01,499000,366280,0.73,0.75,0.73,0.75,0.04,3
105/06/02,579000,424990,0.73,0.74,0.69,0.69,-0.06,7
105/06/03,67000,45780,0.69,0.69,0.64,0.64,-0.05,3
105/06/04,207000,134450,0.66,0.66,0.63,0.63,-0.01,11
105/06/06,143000,98000,0.66,0.70,0.66,0.66,0.03,9
105/06/07,556000,365670,0.65,0.67,0.63,0.64,-0.02,11
105/06/08,644000,420330,0.66,0.66,0.64,0.64,,9
105/06/13,851000,500300,0.59,0.60,0.55,0.55,-0.09,14
105/06/14,812000,481340,0.60,0.61,0.58,0.60,0.05,6
105/06/15,429000,256920,0.60,0.60,0.57,0.57,-0.03,5
105/06/16,1091000,551720,0.55,0.55,0.48,0.49,-0.08,13
105/06/17,326000,168380,0.52,0.52,0.50,0.50,0.01,4
105/06/20,722000,382690,0.53,0.54,0.52,0.54,0.04,9
105/06/21,666000,364480,0.54,0.56,0.54,0.55,0.01,13
105/06/22,1035000,546470,0.54,0.55,0.52,0.53,-0.02,17
105/06/23,653000,346080,0.54,0.54,0.50,0.51,-0.02,16
105/06/24,961000,460480,0.47,0.52,0.39,0.42,-0.09,22
105/06/27,1119000,503440,0.40,0.48,0.40,0.48,0.06,24
105/06/28,490000,211060,0.42,0.47,0.42,0.47,-0.01,12
105/06/29,59000,30820,0.48,0.55,0.48,0.54,0.07,13
105/06/30,542000,281850,0.52,0.53,0.52,0.52,-0.02,6
105/07/01,786000,445170,0.54,0.60,0.54,0.57,0.05,20
105/07/04,403000,233740,0.58,0.58,0.58,0.58,0.01,3
105/07/05,1008000,568010,0.55,0.58,0.55,0.58,,11
105/07/06,1099000,564420,0.54,0.54,0.49,0.49,-0.09,9
105/07/07,598000,304980,0.52,0.52,0.50,0.50,0.01,3
105/07/11,1062000,629900,0.55,0.64,0.55,0.64,0.14,16
105/07/12,976000,614110,0.64,0.65,0.61,0.64,,15
105/07/13,1035000,651340,0.64,0.66,0.61,0.64,,15
105/07/14,1093000,787300,0.67,0.82,0.67,0.80,0.16,27
105/07/15,1261000,1110160,0.90,0.90,0.84,0.84,0.04,44
105/07/18,1239000,1067940,0.85,0.90,0.84,0.86,0.02,21
105/07/19,827000,708340,0.87,0.88,0.83,0.88,0.02,11
105/07/20,1087000,967780,0.87,0.92,0.87,0.89,0.01,23
105/07/21,995000,961850,0.97,1.01,0.94,0.99,0.10,22
105/07/22,1429000,1366300,0.97,1.01,0.89,0.92,-0.07,23
105/07/25,890000,776890,0.96,0.96,0.81,0.86,-0.06,12
105/07/26,523000,481810,0.89,0.95,0.87,0.94,0.08,15
105/07/27,121000,118400,1.00,1.01,0.96,0.96,0.02,8
105/07/28,617000,549830,0.89,0.90,0.87,0.87,-0.09,6
105/07/29,308000,249500,0.80,0.83,0.80,0.80,-0.07,7
105/08/01,597000,506460,0.86,0.86,0.83,0.85,0.05,5
105/08/02,1599000,1425270,0.85,0.96,0.85,0.93,0.08,38
105/08/03,388000,330580,0.81,0.87,0.80,0.85,-0.08,17
105/08/04,1527000,1348710,0.91,0.92,0.85,0.85,,30
105/08/05,386000,338970,0.85,0.89,0.85,0.86,0.01,8
105/08/08,1552000,1451940,0.90,1.02,0.88,1.01,0.15,55
105/08/09,1160000,1147700,1.00,1.03,0.89,0.89,-0.12,46
105/08/10,667000,561830,0.92,0.92,0.82,0.83,-0.06,12
105/08/11,717000,547210,0.81,0.81,0.75,0.78,-0.05,15
