105/06/01,500000,521450,1.04,1.06,1.04,1.04,+0.08,11
105/06/02,812000,826540,1.00,1.04,0.99,1.01,-0.03,43
105/06/03,842000,910610,1.14,1.17,0.99,0.99,-0.02,37
105/06/04,503000,503500,1.04,1.04,0.97,1.00,+0.01,19
105/06/06,948000,1008200,1.07,1.09,1.02,1.04,+0.04,23
105/06/07,896000,887530,0.99,1.04,0.95,0.98,-0.06,44
105/06/08,296000,279300,0.99,0.99,0.92,0.96,-0.02,16
105/06/13,1081000,1086770,0.98,1.05,0.94,1.05,+0.09,29
105/06/14,1845000,1906490,1.03,1.09,0.97,1.08,+0.03,51
105/06/15,1099000,1244100,1.11,1.19,1.08,1.11,+0.03,44
105/06/16,364000,399500,1.10,1.14,1.06,1.12,+0.01,26
105/06/17,191000,203130,1.09,1.09,1.05,1.05,-0.07,11
