105/06/01,808000,938040,1.14,1.19,1.13,1.16,+0.02,17
105/06/02,390000,458740,1.18,1.21,1.15,1.17,+0.01,13
105/06/03,141000,163150,1.15,1.16,1.15,1.16,-0.01,3
105/06/04,299000,372640,1.23,1.31,1.23,1.27,+0.11,13
105/06/06,272000,353610,1.31,1.33,1.24,1.27,0.00,12
105/06/07,364000,465390,1.28,1.29,1.25,1.29,+0.02,12
105/06/08,386000,533450,1.34,1.44,1.34,1.42,+0.13,28
105/06/13,295000,398620,1.29,1.41,1.29,1.41,-0.01,13
105/06/14,420000,604880,1.38,1.48,1.37,1.45,+0.04,21
105/06/15,839000,1080810,1.37,1.38,1.25,1.25,-0.20,21
105/06/16,538000,639610,1.22,1.22,1.14,1.14,-0.11,12
105/06/17,314000,356370,1.15,1.15,1.09,1.11,-0.03,9
105/06/20,36000,41810,1.13,1.18,1.13,1.16,+0.05,4
105/06/21,255000,297920,1.18,1.20,1.15,1.18,+0.02,10
105/06/22,201000,238920,1.20,1.20,1.18,1.18,0.00,3
105/06/23,277000,324730,1.17,1.18,1.15,1.15,-0.03,3
105/06/24,330000,369200,1.14,1.14,0.98,1.02,-0.13,6
105/06/27,10000,10300,1.03,1.03,1.03,1.03,+0.01,1
105/06/28,0,0,---,---,---,---,---,0
105/06/29,20000,20500,1.03,1.03,1.02,1.02,+0.01,2
105/06/30,529000,581510,1.04,1.17,1.04,1.12,+0.10,11
105/07/01,839000,925480,1.11,1.11,1.06,1.06,-0.06,9
