105/06/01,0,0,--,--,--,--,,0
105/06/02,0,0,--,--,--,--,,0
105/06/03,676000,786240,1.16,1.17,1.16,1.17,X,7
105/06/04,1001000,1250990,1.25,1.29,1.22,1.28,0.11,31
105/06/06,421000,514170,1.25,1.25,1.20,1.22,-0.06,14
105/06/07,50000,61100,1.22,1.23,1.22,1.23,0.01,2
105/06/08,30000,36300,1.20,1.22,1.20,1.21,-0.02,3
105/06/13,21000,23950,1.15,1.15,1.13,1.15,-0.06,3
105/06/14,239000,274760,1.14,1.15,1.14,1.15,,5
105/06/15,540000,617600,1.13,1.19,1.12,1.17,0.02,12
105/06/16,335000,383410,1.14,1.16,1.12,1.12,-0.05,8
105/06/17,460000,561530,1.14,1.25,1.14,1.21,0.09,11
105/06/20,377000,461020,1.21,1.25,1.20,1.25,0.04,10
105/06/21,433000,552350,1.27,1.29,1.25,1.29,0.04,14
105/06/22,139000,178360,1.25,1.29,1.25,1.29,,10
105/06/23,16000,20520,1.27,1.29,1.27,1.29,,3
105/06/24,160000,187020,1.22,1.22,1.09,1.12,-0.17,6
105/06/27,184000,211400,1.13,1.15,1.13,1.15,0.03,2
105/06/28,341000,387980,1.12,1.18,1.12,1.18,0.03,6
105/06/29,167000,200450,1.20,1.21,1.20,1.21,0.03,4
105/06/30,737000,915400,1.21,1.26,1.21,1.24,0.03,13
105/07/01,1022000,1257370,1.22,1.25,1.20,1.24,,15
105/07/04,1049000,1266730,1.18,1.22,1.16,1.22,-0.02,11
105/07/05,806000,970660,1.21,1.21,1.20,1.20,-0.02,7
