105/06/01,0,0,---,---,---,---,---,0
105/06/02,0,0,---,---,---,---,---,0
105/06/03,0,0,---,---,---,---,---,0
105/06/04,1000,42900,42.90,42.90,42.90,42.90,0.00,1
105/06/06,4000,171600,42.90,42.90,42.90,42.90,0.00,4
105/06/07,3038,122244,38.80,42.85,38.80,42.85,-0.05,4
105/06/08,0,0,---,---,---,---,---,0
105/06/13,1500,68400,47.00,47.00,47.00,47.00,+4.15,2
105/06/14,2192,105762,46.00,50.70,46.00,50.70,+3.70,4
105/06/15,11310,527894,53.80,53.80,45.65,47.95,-2.75,12
105/06/16,368,16836,---,---,---,---,---,1
105/06/17,10298,441845,43.00,45.20,42.30,45.20,-0.80,12
105/06/20,3827,166218,41.60,44.70,41.60,44.70,-0.50,5
105/06/21,15379,635117,41.10,43.75,40.25,43.75,-0.95,16
105/06/22,6000,249250,43.05,43.05,40.00,41.95,-1.80,6
105/06/23,1000,42850,42.85,42.85,42.85,42.85,+0.90,1
105/06/24,1000,42350,42.35,42.35,42.35,42.35,-0.50,1
105/06/27,2002,83782,41.50,42.20,41.50,42.20,-0.15,4
105/06/28,1000,42000,42.00,42.00,42.00,42.00,-0.20,1
105/06/29,1000,41000,41.00,41.00,41.00,41.00,-1.00,1
105/06/30,2000,80500,39.80,40.70,39.80,40.70,-0.30,2
105/07/01,1043,44170,42.35,42.35,42.35,42.35,+1.65,3
105/07/04,1000,42350,42.35,42.35,42.35,42.35,0.00,1
105/07/05,1001,40990,40.95,40.95,40.95,40.95,-1.40,2
105/07/06,1000,40950,40.95,40.95,40.95,40.95,0.00,1
105/07/07,1000,40900,40.90,40.90,40.90,40.90,-0.05,1
105/07/11,1000,40850,40.85,40.85,40.85,40.85,-0.05,1
105/07/12,1000,40800,40.80,40.80,40.80,40.80,-0.05,1
105/07/13,1000,40450,40.45,40.45,40.45,40.45,-0.35,1
105/07/14,1130,45053,39.90,39.90,39.90,39.90,-0.55,3
105/07/15,1000,39850,39.85,39.85,39.85,39.85,-0.05,1
105/07/18,1000,39700,39.70,39.70,39.70,39.70,-0.15,1
105/07/19,1000,39600,39.60,39.60,39.60,39.60,-0.10,1
105/07/20,1001,43342,43.30,43.30,43.30,43.30,+3.70,2
105/07/21,1351,58152,43.20,43.20,43.20,43.20,-0.10,2
105/07/22,1000,42850,42.85,42.85,42.85,42.85,-0.35,1
105/07/25,1000,42800,42.80,42.80,42.80,42.80,-0.05,1
105/07/26,1352,57760,42.80,42.80,42.80,42.80,0.00,3
105/07/27,1035,44085,42.65,42.65,42.65,42.65,-0.15,2
105/07/29,1000,42400,42.40,42.40,42.40,42.40,-0.05,1
105/08/01,1035,43898,42.40,42.40,42.40,42.40,0.00,2
105/08/02,7000,278650,40.00,41.95,38.60,41.95,-0.45,7
105/08/03,3000,122050,40.25,41.55,40.25,41.55,-0.40,3
105/08/04,2555,103806,39.50,43.55,39.50,43.55,+2.00,5
105/08/05,1000,42950,42.95,42.95,42.95,42.95,-0.60,1
105/08/09,1000,41850,41.85,41.85,41.85,41.85,-0.70,1
105/08/10,2000,82350,42.75,42.75,39.60,39.60,-2.25,2
105/08/11,1282,53510,42.40,42.40,42.40,42.40,+2.80,3
