105/06/01,0,0,---,---,---,---,---,0
105/06/02,34000,32230,0.94,1.05,0.94,1.05,+0.10,7
105/06/03,0,0,---,---,---,---,---,0
105/06/04,2000,1960,0.98,0.98,0.98,0.98,+0.02,2
105/06/06,12000,12560,1.01,1.05,1.01,1.05,+0.07,3
105/06/07,101000,88680,0.94,0.94,0.84,0.86,-0.19,9
105/06/08,118000,95470,0.83,0.83,0.80,0.83,-0.03,10
105/06/13,416000,349630,0.81,0.86,0.80,0.86,+0.03,10
105/06/14,429000,361950,0.84,0.86,0.82,0.82,-0.04,18
105/06/15,134000,109630,0.81,0.83,0.81,0.82,0.00,10
105/06/16,266000,221470,0.82,0.85,0.82,0.84,+0.02,10
105/06/17,434000,360830,0.82,0.85,0.82,0.83,-0.01,12
105/06/20,623000,543700,0.85,0.88,0.85,0.86,+0.03,13
105/06/21,495000,416280,0.85,0.85,0.83,0.85,-0.01,10
105/06/22,1191000,927270,0.81,0.82,0.73,0.75,-0.10,25
