105/06/01,199000,169650,0.86,0.86,0.84,0.86,-0.03,5
105/06/02,330000,277700,0.85,0.85,0.84,0.84,-0.02,4
105/06/03,659000,572270,0.87,0.87,0.84,0.85,+0.01,10
105/06/04,711000,596870,0.85,0.85,0.82,0.83,-0.02,9
105/06/06,322000,247060,0.83,0.83,0.70,0.72,-0.11,9
105/06/07,50000,36200,0.73,0.73,0.72,0.72,0.00,2
105/06/08,33000,23760,0.72,0.72,0.72,0.72,0.00,2
105/06/13,4000,2680,0.67,0.67,0.67,0.67,-0.05,2
105/06/14,10000,6500,0.65,0.65,0.65,0.65,-0.02,1
105/06/15,1000,730,0.73,0.73,0.73,0.73,+0.08,1
105/06/16,10000,7400,0.74,0.74,0.74,0.74,+0.01,1
