105/06/01,240000,105000,135000
105/06/02,20000,80000,-60000
105/06/03,20000,10000,10000
105/06/04,0,20000,-20000
105/06/06,110000,321000,-211000
105/06/07,363000,40000,323000
105/06/08,60000,165000,-105000
105/06/09,60000,165000,-105000
105/06/10,60000,165000,-105000
105/06/13,36000,648000,-612000
105/06/14,40000,476000,-436000
105/06/15,185000,340000,-155000
105/06/16,55000,988000,-933000
105/06/17,1495000,390000,1105000
105/06/20,400000,590000,-190000
105/06/21,583000,365000,218000
105/06/22,375000,185000,190000
105/06/23,80000,215000,-135000
105/06/24,206000,833000,-627000
105/06/27,151000,547000,-396000
105/06/28,390000,459000,-69000
