105/06/01,312000,112000,200000
105/06/02,115000,313000,-198000
105/06/03,656000,34000,622000
105/06/04,132000,92000,40000
105/06/06,0,28000,-28000
105/06/07,28000,1000,27000
105/06/08,88000,11000,77000
105/06/09,88000,11000,77000
105/06/10,88000,11000,77000
105/06/13,0,24000,-24000
105/06/14,0,1000,-1000
105/06/15,24000,12000,12000
105/06/16,12000,10000,2000
105/06/17,15000,0,15000
105/06/21,0,24000,-24000
105/06/22,34000,0,34000
105/06/24,2000,0,2000
105/06/27,0,10000,-10000
105/06/28,10000,22000,-12000
105/06/29,23000,12000,11000
105/07/01,12000,0,12000
105/07/06,100000,12000,88000
105/07/07,0,13000,-13000
105/07/08,0,13000,-13000
105/07/12,25000,0,25000
