105/06/01,50000,25000,25000
105/06/02,14000,37000,-23000
105/06/03,0,32000,-32000
105/06/04,0,25000,-25000
105/06/06,0,3000,-3000
105/06/07,19000,28000,-9000
105/06/08,6000,12000,-6000
105/06/09,6000,12000,-6000
105/06/10,6000,12000,-6000
105/06/13,22000,8000,14000
105/06/14,48000,0,48000
105/06/15,14000,28000,-14000
105/06/16,27000,0,27000
105/06/17,8000,37000,-29000
105/06/20,107000,6000,101000
105/06/21,9000,71000,-62000
105/06/22,95000,7000,88000
105/06/23,0,64000,-64000
105/06/24,6000,46000,-40000
