105/06/01,32000,0,32000
105/06/02,75000,644000,-569000
105/06/03,422000,0,422000
105/06/04,35000,0,35000
105/06/06,25000,50000,-25000
105/06/07,122000,0,122000
105/06/13,0,10000,-10000
105/06/20,0,50000,-50000
105/06/21,40000,323000,-283000
105/06/22,265000,211000,54000
105/06/23,319000,309000,10000
105/06/24,359000,25000,334000
105/06/27,70000,75000,-5000
105/06/28,45000,0,45000
105/06/29,25000,0,25000
105/07/04,0,77000,-77000
105/07/05,77000,31000,46000
105/07/06,31000,0,31000
105/07/11,0,7000,-7000
105/07/12,27000,32000,-5000
105/07/13,29000,0,29000
105/07/15,3000,0,3000
105/07/20,0,32000,-32000
105/07/21,32000,0,32000
105/07/22,0,39000,-39000
105/07/25,39000,0,39000
105/07/26,0,25000,-25000
105/07/27,25000,0,25000
105/07/28,0,66000,-66000
105/07/29,66000,6000,60000
105/08/01,6000,0,6000
