105/06/01,135000,898000,-763000
105/06/02,22000,132000,-110000
105/06/03,367000,453000,-86000
105/06/04,1000,10000,-9000
105/06/06,660000,761000,-101000
105/06/07,1033000,620000,413000
105/06/08,156000,117000,39000
105/06/09,156000,117000,39000
105/06/10,156000,117000,39000
105/06/13,883000,870000,13000
105/06/14,27000,23000,4000
105/06/15,1156000,1052000,104000
105/06/16,493000,490000,3000
105/06/17,269000,279000,-10000
105/06/20,1582000,1004000,578000
105/06/21,747000,854000,-107000
105/06/22,268000,258000,10000
105/06/23,955000,921000,34000
105/06/24,5100000,4910000,190000
105/06/27,743000,814000,-71000
105/06/28,823000,814000,9000
105/06/29,405000,556000,-151000
105/06/30,244000,227000,17000
105/07/01,476000,505000,-29000
105/07/04,756000,860000,-104000
105/07/05,26000,68000,-42000
105/07/06,196000,161000,35000
105/07/07,427000,439000,-12000
105/07/08,427000,439000,-12000
105/07/11,373000,444000,-71000
105/07/12,538000,562000,-24000
105/07/13,404000,696000,-292000
105/07/14,48000,33000,15000
105/07/15,754000,722000,32000
105/07/18,510000,645000,-135000
105/07/19,626000,820000,-194000
105/07/20,408000,370000,38000
105/07/21,374000,382000,-8000
105/07/22,96000,38000,58000
105/07/25,263000,372000,-109000
105/07/26,204000,112000,92000
105/07/27,611000,620000,-9000
105/07/28,613000,1041000,-428000
105/07/29,105000,111000,-6000
105/08/01,188000,167000,21000
105/08/02,527000,525000,2000
105/08/03,8000,17000,-9000
105/08/04,572000,559000,13000
105/08/05,207000,214000,-7000
105/08/08,109000,106000,3000
105/08/09,460000,495000,-35000
105/08/10,418000,258000,160000
