105/06/13,0,550000,-550000
105/06/14,200000,10000,190000
105/06/15,398000,149000,249000
105/06/16,127000,139000,-12000
105/06/17,110000,500000,-390000
105/06/20,42000,323000,-281000
105/06/21,30000,160000,-130000
105/06/22,560000,400000,160000
105/06/23,100000,100000,0
105/06/24,201000,1000,200000
105/06/27,200000,200000,0
105/06/28,310000,535000,-225000
105/06/29,325000,674000,-349000
105/06/30,309000,210000,99000
105/07/01,215000,215000,0
105/07/04,840000,674000,166000
105/07/05,685000,340000,345000
105/07/06,188000,203000,-15000
105/07/07,280000,357000,-77000
105/07/08,280000,357000,-77000
105/07/11,169000,639000,-470000
105/07/12,550000,228000,322000
105/07/13,482000,575000,-93000
105/07/14,509000,388000,121000
105/07/15,415000,48000,367000
105/07/18,39000,48000,-9000
105/07/19,86000,747000,-661000
105/07/20,683000,71000,612000
105/07/21,55000,155000,-100000
105/07/22,179000,96000,83000
