105/06/01,50000,400000,-350000
105/06/02,100000,200000,-100000
105/06/03,500000,0,500000
105/06/06,0,20000,-20000
105/06/07,10000,50000,-40000
105/06/15,0,20000,-20000
105/06/16,0,100000,-100000
105/06/17,110000,0,110000
105/06/21,0,101000,-101000
105/06/22,10000,301000,-291000
105/06/23,263000,0,263000
105/06/24,129000,90000,39000
105/06/27,60000,300000,-240000
105/06/28,315000,335000,-20000
105/06/29,429000,132000,297000
105/06/30,145000,115000,30000
105/07/01,102000,89000,13000
105/07/04,0,111000,-111000
105/07/05,61000,20000,41000
105/07/06,70000,170000,-100000
105/07/07,214000,70000,144000
105/07/08,214000,70000,144000
105/07/11,68000,58000,10000
105/07/12,58000,25000,33000
105/07/13,43000,26000,17000
105/07/14,36000,36000,0
105/07/15,20000,40000,-20000
105/07/18,30000,0,30000
105/07/19,28000,28000,0
105/07/20,22000,22000,0
105/07/21,9000,4000,5000
105/07/26,0,8000,-8000
105/07/27,8000,0,8000
